instance,n,algorithm,best,mean,std,time_mean
Instance_A_20,20,HC_Best,352.33,436.98,63.71,0.0086
Instance_A_20,20,HC_First,352.33,451.02,60.23,0.0052
Instance_A_20,20,HC_Best_2opt,352.33,356.32,11.65,0.0096
Instance_A_20,20,HC_First_2opt,352.33,354.16,3.21,0.0066
Instance_A_20,20,MS_HC,352.33,352.33,0.0,0.2464
Instance_A_20,20,SA,352.33,422.22,55.89,0.0128
Instance_A_20,20,SA_2opt,352.33,354.04,3.26,0.0101
Instance_A_20,20,Tabu,352.33,359.37,27.25,0.6369
Instance_A_20,20,GRASP,352.33,352.33,0.0,0.2122
Instance_B_50,50,HC_Best,760.18,887.24,66.93,0.3481
Instance_B_50,50,HC_First,753.49,862.46,65.89,0.2645
Instance_B_50,50,HC_Best_2opt,618.26,652.39,21.53,0.3271
Instance_B_50,50,HC_First_2opt,622.92,656.54,17.14,0.31
Instance_B_50,50,MS_HC,743.2,828.34,42.21,1.3571
Instance_B_50,50,SA,922.69,1000.26,58.26,0.0213
Instance_B_50,50,SA_2opt,713.64,761.46,29.5,0.019
Instance_B_50,50,Tabu,711.02,799.13,52.38,1.0742
Instance_B_50,50,GRASP,707.61,782.28,26.45,1.2449
Instance_C_80,80,HC_Best,1148.18,1320.08,83.05,1.8355
Instance_C_80,80,HC_First,917.68,1151.92,99.01,1.437
Instance_C_80,80,HC_Best_2opt,786.15,833.07,22.81,1.7548
Instance_C_80,80,HC_First_2opt,752.12,945.55,154.27,1.7222
Instance_C_80,80,MS_HC,1148.18,1311.38,85.53,1.6131
Instance_C_80,80,SA,1426.24,1640.75,104.58,0.0286
Instance_C_80,80,SA_2opt,1036.08,1178.9,52.24,0.027
Instance_C_80,80,Tabu,1213.38,1302.68,65.68,1.5998
Instance_C_80,80,GRASP,962.85,1065.25,62.08,1.6184
